Seccion,Nombre,E_P1,E_P2,E_P3,P_P1_Dia,P_P2_Dia,P_P1_Anual,P_P2_Anual,P_P3_Anual,P_P3_Dia,P_P4_Anual,P_P4_Dia,P_P5_Anual,P_P5_Dia,P_P6_Anual,P_P6_Dia,E_P4,E_P5,E_P6
2.0TD,2.0TD _ 2     P1 <= 10kW,,,,0.073777,0.001911,,,,,,,,,,,,,
2.0TD,2.0TD_2 Plan Exclusivo 15%TE/TP 1p,,,,0.11778082191780823,0.06024657534246575,,,,,,,,,,,,,
2.0TD,2.0TD_2 Plan Exclusivo 15%TE/TP 3p,0.2107,0.1828,,0.11778082191780823,0.06024657534246575,,,,,,,,,,,,,
2.0TD,2.0TD_2 Plan Especial plus 15%TE 1p,,,,0.10819178082191781,0.046547945205479446,,,,,,,,,,,,,
2.0TD,2.0TD_2 Plan Ahorro Solar,0.123,0.079,,0.0863013698630137,0.04246575342465753,,,,,,,,,,,,,
2.0TD,2.0TD_2 Plan Hogar Especial,,,,0.08493150684931507,0.04928767123287671,,,,,,,,,,,,,
2.0TD,2.0TD_2 Plan Estable,,,,0.10819178082191781,0.046547945205479446,,,,,,,,,,,,,
2.0TD,2.0TD_2 Planazo,,,,0.10819178082191781,0.04928767123287671,,,,,,,,,,,,,
2.0TD,2.0TD_2 Plan Más Ahorro,,,,0.10819178082191781,0.04928767123287671,,,,,,,,,,,,,
2.0TD,2.0TD_2 Plan Ahorro Inteligente 8 horas,0.11763,,,0.10819178082191781,0.04928767123287671,,,,,,,,,,,,,
2.0TD,2.0TD_2 Plan Ahorro Automático 100,,,,0.10819178082191781,0.04928767123287671,,,,,,,,,,,,,
2.0TD,2.0TD_2 Plan Verano,0.12491100000000001,,,0.10819178082191781,0.04928767123287671,,,,,,,,,,,,,
2.0TD,2.0TD_2 Plan Estable Comunidades de Propietarios,,,,0.11641095890410959,0.052027397260273965,,,,,,,,,,,,,
2.0TD,2.0TD_2 Plan Solar,0.122,,,0.10819178082191781,0.04928767123287671,,,,,,,,,,,,,
2.0TD,2.0TD_2 Plan Recarga Inteligente,,,,0.10819178082191781,0.04928767123287671,,,,,,,,,,,,,
2.0TD,2.0TD_2 Impulsa 24h,,,,0.11641095890410959,0.046547945205479446,,,,,,,,,,,,,
2.0TD,2.0TD_2 Plan OMIE Comunidades,,,,0.07378232876712329,0.0019112,,,,,,,,,,,,,
2.0TD,2.0TD _ 3     P1 > 10kW,,,,0.073777,0.001911,,,,,,,,,,,,,
2.0TD,2.0TD_3 Plan Exclusivo 15%TE/TP 1p,,,,0.11778082191780823,0.06024657534246575,,,,,,,,,,,,,
2.0TD,2.0TD_3 Plan Exclusivo 15%TE/TP 3p,0.2148,0.2045,,0.11778082191780823,0.06024657534246575,,,,,,,,,,,,,
2.0TD,2.0TD_3 Plan Especial plus 15%TE 1p,,,,0.10819178082191781,0.046547945205479446,,,,,,,,,,,,,
2.0TD,2.0TD_3 Plan Ahorro Solar,0.145,0.101,,0.0863013698630137,0.04246575342465753,,,,,,,,,,,,,
2.0TD,2.0TD_3 Plan Hogar Especial,,,,0.08493150684931507,0.04928767123287671,,,,,,,,,,,,,
2.0TD,2.0TD_3 Plan Estable,,,,0.10819178082191781,0.046547945205479446,,,,,,,,,,,,,
2.0TD,2.0TD_3 Planazo,,,,0.10819178082191781,0.04928767123287671,,,,,,,,,,,,,
2.0TD,2.0TD_3 Plan Más Ahorro,,,,0.10819178082191781,0.04928767123287671,,,,,,,,,,,,,
2.0TD,2.0TD_3 Plan Ahorro Inteligente 8 horas,0.12263000000000002,,,0.10819178082191781,0.04928767123287671,,,,,,,,,,,,,
2.0TD,2.0TD_3 Plan Ahorro Automático 100,,,,0.10819178082191781,0.04928767123287671,,,,,,,,,,,,,
2.0TD,2.0TD_3 Plan Verano,0.12491100000000001,,,0.10819178082191781,0.04928767123287671,,,,,,,,,,,,,
2.0TD,2.0TD_3 Plan Estable Comunidades de Propietarios,,,,0.11641095890410959,0.052027397260273965,,,,,,,,,,,,,
2.0TD,2.0TD_3 Plan Solar,0.122,,,0.10819178082191781,0.04928767123287671,,,,,,,,,,,,,
2.0TD,2.0TD_3 Plan Recarga Inteligente,,,,0.10819178082191781,0.04928767123287671,,,,,,,,,,,,,
2.0TD,2.0TD_3 Impulsa 24h,,,,0.11641095890410959,0.046547945205479446,,,,,,,,,,,,,
2.0TD,2.0TD_3 Plan OMIE,,,,0.07378232876712329,0.0019112,,,,,,,,,,,,,
2.0TD,2.0TD_3 Plan OMIE Comunidades,,,,0.07378232876712329,0.0019112,,,,,,,,,,,,,
3.0TD,3.0TD Impulsa 24h,,,,0.031974,0.019047,11.670514999999998,6.952299999999999,5.398084,0.014789,3.2589859999999997,0.008929,2.7574069999999997,0.007555,0.184,0.000504,,,
3.0TD,3.0TD Impulsa 24h+,,,,0.031974,0.019047,11.670514999999998,6.952299999999999,5.398084,0.014789,3.2589859999999997,0.008929,2.7574069999999997,0.007555,0.191,0.000523,,,
3.0TD,3.0TD Impulsa Zero+,,,,0.040193,0.030006,14.670515,10.952300000000001,10.398083999999999,0.028488,9.258986,0.025367,8.757407,0.023993,0.168,0.00046,,,
3.0TD,3.0TD Impulsa Negocio,0.166,0.166,0.166,0.031974,0.019047,11.670514999999998,6.952299999999999,5.398084,0.014789,3.2589859999999997,0.008929,2.7574069999999997,0.007555,0.269,0.000737,0.166,0.166,0.166
3.0TD,3.0TD Impulsa Valle,0.135,0.135,0.135,0.031974,0.019047,11.670514999999998,6.952299999999999,5.398084,0.014789,3.2589859999999997,0.008929,2.7574069999999997,0.007555,0.269,0.000737,0.135,0.135,0.135
3.0TD,3.0TD Impulsa Estable,,,,0.023973,0.023973,8.75,8.75,8.75,0.023973,8.75,0.023973,8.75,0.023973,0.199,0.000545,,,
3.0TD,3.0TD Comunidad Exclusivo,,,,0.034784,0.026039,12.696152,9.504408,7.034486,0.019273,5.370416,0.014713,3.9898529999999996,0.010931,0.199,0.000545,,,
3.0TD,3.0TD Comunidad Impulsa,,,,0.031974,0.019047,11.670514999999998,6.952299999999999,5.398084,0.014789,3.2589859999999997,0.008929,2.7574069999999997,0.007555,0.179,0.00049,,,
3.0TD,3.0TD Comunidad Optima,,,,0.031974,0.019047,11.670514999999998,6.952299999999999,5.398084,0.014789,3.2589859999999997,0.008929,2.7574069999999997,0.007555,0.174,0.000477,,,
3.0TD,3.0TD Plan Vehículo Eléctrico,0.03,0.03,0.03,0.033076,0.021533,12.072887,7.8596189999999995,5.783646,0.015846,3.465543,0.009495,2.4198929999999996,0.00663,0.296,0.000811,0.03,0.03,0.03
3.0TD,3.0TD Plan Regantes,0.086,0.086,0.086,0.033076,0.021533,12.072887,7.8596189999999995,5.783646,0.015846,3.465543,0.009495,2.4198929999999996,0.00663,0.271,0.000742,0.086,0.086,0.086
3.0TD,3.0TD Plan Exclusivo 15%TE,0.25506799999999996,0.227022,0.210872,0.034784,0.026039,12.696152,9.504408,7.034486,0.019273,5.370416,0.014713,3.9898529999999996,0.010931,0.284832,0.00078,0.173647,0.185486,0.25506799999999996
3.0TD,3.0TD Plan Exclusivo 26/30%TE,0.246127,0.214945,0.187645,0.033076,0.021533,12.072887,7.8596189999999995,5.783646,0.015846,3.465543,0.009495,2.4198929999999996,0.00663,0.27836,0.000763,0.16539,0.174208,0.246127
3.0TD,3.0TD Empresas 10%TE,0.188555,0.160055,0.139455,0.029102,0.012287,10.622166,4.484836,3.8896349999999997,0.010657,2.517153,0.006896,1.443801,0.003956,0.226429,0.00062,0.12443900000000001,0.130585,0.188555
3.0TD,3.0TD Empresa Plus,0.178043,0.15556,0.135386,0.029102,0.012287,10.622166,4.484836,3.8896349999999997,0.010657,2.517153,0.006896,1.443801,0.003956,0.211765,0.00058,0.120214,0.127741,0.178043
3.0TD,3.0TD Plan Especial 15%TE,0.187326,0.159781,0.138408,0.029102,0.012287,10.622166,4.484836,3.8896349999999997,0.010657,2.517153,0.006896,1.443801,0.003956,0.229475,0.000629,0.11993,0.128847,0.187326
3.0TD,3.0TD Plan Verde 15%TE,0.19061939999999997,0.16512159999999998,0.13839905,0.040069,0.027062,14.625064,9.877717,7.685923000000001,0.021057,5.403549,0.014804,3.983163,0.010913,0.2268352,0.000621,0.12649885,0.144486,0.19061939999999997
3.0TD,3.0TD Plan OMIE 0,,,,0.029102,0.012287,10.622166,4.484836,3.8896349999999997,0.010657,2.517153,0.006896,1.443801,0.003956,0.032,8.8e-05,,,
3.0TD,3.0TD Plan OMIE 1,,,,0.029102,0.012287,10.622166,4.484836,3.8896349999999997,0.010657,2.517153,0.006896,1.443801,0.003956,0.026,7.1e-05,,,
3.0TD,3.0TD Plan OMIE 2,,,,0.029102,0.012287,10.622166,4.484836,3.8896349999999997,0.010657,2.517153,0.006896,1.443801,0.003956,0.02,5.5e-05,,,
3.0TD,3.0TD Plan OMIE 3,,,,0.029102,0.012287,10.622166,4.484836,3.8896349999999997,0.010657,2.517153,0.006896,1.443801,0.003956,0.01,2.7e-05,,,
